name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
anantapur,2021-01-01,28.9,19.9,23.7,28.6,19.9,23.7,17.4,70.2,0,0,0,,0,0,41.4,19.4,97.4,1013.9,46.3,5.8,210.9,18.2,7,,2021-01-01T06:45:03,2021-01-01T18:01:32,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43237099999,remote"
anantapur,2021-01-02,28.1,17.9,22.6,29.1,17.9,22.8,17.6,74.7,0,0,0,,0,0,34.9,16.6,93.2,1013.9,72.6,5.5,207.9,17.9,8,,2021-01-02T06:45:24,2021-01-02T18:02:07,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2021-01-03,29.6,20.6,24.4,30,20.6,24.6,18.3,70.5,0,0,0,,0,0,35.3,16.9,104,1012.1,57,5.5,175.7,15.1,7,,2021-01-03T06:45:45,2021-01-03T18:02:42,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2021-01-04,29,21.1,24.4,29.8,21.1,24.7,18.3,69.9,0,0,0,,0,0,34.6,17.6,101.3,1012.1,51.6,6.3,131.6,11.4,5,,2021-01-04T06:46:05,2021-01-04T18:03:17,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2021-01-05,27.4,20.8,24,29,20.8,24.3,19.5,76.4,0,0,0,,0,0,34.6,17.3,101.9,1012.6,63.9,6.3,102.7,8.9,4,,2021-01-05T06:46:24,2021-01-05T18:03:52,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
anantapur,2021-01-06,27.4,21.2,24.5,29.5,21.2,24.8,21.5,83.5,3,100,4.17,rain,0,0,32,14,90.6,1011.8,93.5,7,87.1,7.5,5,,2021-01-06T06:46:42,2021-01-06T18:04:27,0.75,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"remote,43237099999"
anantapur,2021-01-07,25.6,21.7,23.4,25.6,21.7,23.4,21.7,90.2,13,100,8.33,rain,0,0,34.2,17.6,89.5,1010.9,94.5,7,89,7.7,4,,2021-01-07T06:46:59,2021-01-07T18:05:02,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"remote,43237099999"
anantapur,2021-01-08,29.2,21.4,24.9,31.4,21.4,25.7,20.4,76.3,0.2,100,4.17,rain,0,0,25.9,12.6,100.8,1009.7,71.1,7,152.7,13.3,6,,2021-01-08T06:47:15,2021-01-08T18:05:37,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"remote,43237099999"
anantapur,2021-01-09,28,22.5,24.7,30,22.5,25.2,20.9,80,0.2,100,8.33,rain,0,0,27.4,13.7,97.5,1010.7,79.7,7,114.6,9.8,4,,2021-01-09T06:47:30,2021-01-09T18:06:13,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"remote,43237099999"
anantapur,2021-01-10,29.8,20.5,24.5,31.3,20.5,25.1,20.1,77.8,0,0,0,,0,0,29.9,14.8,103.4,1011.4,84,6.3,190.8,16.7,7,,2021-01-10T06:47:44,2021-01-10T18:06:48,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,43237099999"
